clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],normal,cpu,mem,io
1529575152,106016,73976,2,307,726,0.0000,0.0000,0.0600,2218,91.7113,0.0000,0.3676,0.0000,0.1340,0.0000,1.3703,1.9716,4172206080,97.1416,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449763840,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449763840,68159238144,90.1470,79680208896,7449772032,68159238144,90.1470,79680208896,7449772032,7796563968,8371621888,1,0,0,0
1529575157,54960,41384,18,307,780,0.1600,0.0100,1.7400,2524,83.7883,0.0000,0.3852,0.0000,0.1172,0.0000,6.7325,2.7299,4172206080,97.1418,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449772032,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449780224,68159229952,90.1470,79680208896,7449780224,68159229952,90.1470,79680208896,7449780224,7756492800,8371621888,0,0,0,1
1529575162,101584,47808,33,307,722,8.2400,0.5500,3.3800,2078,75.7495,0.0000,0.3516,0.0000,0.1340,0.0000,14.5202,2.9303,4172206080,97.1418,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1470,79680208896,7449788416,408983552,87.2071,494512128,59996160,90.1470,79680208896,7449788416,68159213568,90.1469,79680208896,7449796608,68159213568,90.1469,79680208896,7449796608,7755210752,8371621888,0,0,0,1
1529575167,54240,531456,14,307,911,15.6600,1.0900,3.3800,2468,69.4291,0.0000,0.2847,0.0000,0.1340,0.0000,22.4920,2.9973,4172206080,97.1418,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1469,79680208896,7449796608,408983552,87.2071,494512128,59996160,90.1469,79680208896,7449796608,68159205376,90.1469,79680208896,7449804800,68159213568,90.1469,79680208896,7449796608,7755042816,8371621888,0,0,0,1
1529575172,126224,61232,28,308,684,22.5000,1.6300,5.0000,2409,61.2784,0.0000,0.2510,0.0167,0.1674,0.0000,28.7197,3.0293,4172206080,97.1418,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1469,79680208896,7449804800,408983552,87.2071,494512128,59996160,90.1469,79680208896,7449812992,68159197184,90.1469,79680208896,7449812992,68159197184,90.1469,79680208896,7449812992,7754465280,8371621888,0,0,0,1
1529575177,48472,40696,32,308,796,28.7900,2.1600,8.1700,2135,53.2965,0.0000,0.2343,0.0167,0.1674,0.0000,36.6466,3.2631,4172206080,97.1418,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1469,79680208896,7449812992,408983552,87.2071,494512128,59996160,90.1469,79680208896,7449825280,68159184896,90.1469,79680208896,7449825280,68159184896,90.1469,79680208896,7449825280,7752105984,8371621888,0,0,0,1
1529575182,99760,72360,16,308,694,34.5700,2.6900,9.7100,2410,45.2050,0.0000,0.2008,0.0167,0.1841,0.0000,44.5263,3.4131,4172206080,97.1418,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1469,79680208896,7449833472,408983552,87.2071,494512128,59996160,90.1469,79680208896,7449833472,68159168512,90.1469,79680208896,7449841664,68159176704,90.1469,79680208896,7449833472,7747698688,8371621888,0,0,0,1
1529575187,52704,502560,14,307,802,39.8900,3.2200,11.2200,2282,37.1926,0.0000,0.1841,0.0167,0.2008,0.0000,52.4439,3.5649,4172206080,97.1418,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1469,79680208896,7449841664,408983552,87.2071,494512128,59996160,90.1469,79680208896,7449841664,68159160320,90.1469,79680208896,7449849856,68159160320,90.1469,79680208896,7449849856,7746809856,8371621888,0,0,0,1
1529575192,101600,51272,7,306,684,44.7800,3.7500,12.7100,2415,27.5510,0.0000,0.2007,0.0167,0.2175,0.0000,60.2710,3.6802,4172206080,97.1418,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1469,79680208896,7449858048,408983552,87.2071,494512128,59996160,90.1469,79680208896,7449858048,68159152128,90.1469,79680208896,7449858048,68159152128,90.1469,79680208896,7449858048,7781916672,8371621888,0,0,0,1
1529575197,50608,65800,19,306,846,49.2800,4.2700,14.1600,2755,19.5518,0.0000,0.1505,0.0167,0.2341,0.0000,70.0452,3.6126,4172206080,97.1418,4294963200,95.4714,99.7583,95.4714,95.4714,95.4714,90.1469,79680208896,7449866240,408983552,87.2071,494512128,59996160,90.1469,79680208896,7449866240,68159131648,90.1468,79680208896,7449878528,68159131648,90.1468,79680208896,7449878528,7781957632,8371621888,0,0,0,1
