clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],normal,cpu,mem,io
1529575154,5118488,4413728,2,207,3209,0.1700,0.0400,0.0700,6050,77.8651,0.0000,0.4017,0.0167,6.7169,0.0000,4.3187,11.5501,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2461,79680208896,7374852096,408983552,87.2071,494512128,59996160,90.2464,79680208896,7374606336,68234240000,90.2462,79680208896,7374770176,68234317824,90.2463,79680208896,7374692352,7754522624,8371621888,1,0,0,0
1529575159,5073376,4388392,2,207,3230,0.1600,0.0400,0.0700,5822,75.9879,0.0000,0.3684,0.0167,6.9670,0.0000,4.6185,12.5105,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2455,79680208896,7375245312,408983552,87.2071,494512128,59996160,90.2459,79680208896,7375011840,68233838592,90.2456,79680208896,7375171584,68233916416,90.2458,79680208896,7375085568,7754788864,8371621888,1,0,0,0
1529575164,5130456,4395184,3,207,3167,0.1400,0.0400,0.0700,5956,75.3851,0.0000,0.3683,0.0168,6.9943,0.0000,4.5690,12.7909,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2450,79680208896,7375650816,408983552,87.2071,494512128,59996160,90.2453,79680208896,7375409152,68233449472,90.2451,79680208896,7375560704,68233527296,90.2452,79680208896,7375482880,7754280960,8371621888,1,0,0,0
1529575169,5089512,4987720,2,207,3265,0.1300,0.0300,0.0700,5752,75.1385,0.0000,0.3693,0.0168,6.9869,0.0000,4.5821,12.9070,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2446,79680208896,7375962112,408983552,87.2071,494512128,59996160,90.2448,79680208896,7375802368,68233121792,90.2447,79680208896,7375888384,68233125888,90.2447,79680208896,7375884288,7754678272,8371621888,1,0,0,0
1529575174,5128456,4392992,2,207,3171,0.1200,0.0300,0.0700,6114,75.1092,0.0000,0.3029,0.0168,6.9767,0.0000,4.7243,12.8555,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2441,79680208896,7376359424,408983552,87.2071,494512128,59996160,90.2444,79680208896,7376117760,68232728576,90.2442,79680208896,7376281600,68232814592,90.2443,79680208896,7376195584,7754080256,8371621888,1,0,0,0
1529575179,5079360,4392224,3,207,3252,0.1100,0.0300,0.0600,5635,75.1432,0.0000,0.3709,0.0169,6.9705,0.0000,4.7194,13.0142,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2436,79680208896,7376752640,408983552,87.2071,494512128,59996160,90.2439,79680208896,7376523264,68232335360,90.2437,79680208896,7376674816,68232409088,90.2438,79680208896,7376601088,7754444800,8371621888,1,0,0,0
1529575184,5116176,4410072,2,207,3198,0.1000,0.0300,0.0600,6005,74.8566,0.0000,0.3540,0.0168,6.9575,0.0000,4.7619,13.1322,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2430,79680208896,7377154048,408983552,87.2071,494512128,59996160,90.2433,79680208896,7376912384,68231938048,90.2431,79680208896,7377068032,68232019968,90.2432,79680208896,7376990208,7753797632,8371621888,1,0,0,0
1529575189,5137608,4884352,4,207,3255,0.0900,0.0300,0.0600,5652,74.7347,0.0000,0.4047,0.0169,6.9599,0.0000,4.6720,13.2187,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2425,79680208896,7377551360,408983552,87.2071,494512128,59996160,90.2428,79680208896,7377301504,68231540736,90.2426,79680208896,7377469440,68231618560,90.2427,79680208896,7377391616,7754043392,8371621888,1,0,0,0
1529575194,5118832,4393176,6,207,3265,0.1700,0.0400,0.0800,6111,74.7094,0.0000,0.3874,0.0168,7.0237,0.0000,4.6488,13.2895,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2420,79680208896,7377944576,408983552,87.2071,494512128,59996160,90.2423,79680208896,7377707008,68231143424,90.2421,79680208896,7377866752,68231225344,90.2422,79680208896,7377784832,7753281536,8371621888,1,0,0,0
1529575199,5079544,4423176,5,207,3230,0.1500,0.0400,0.0800,5599,74.6374,0.0000,0.4042,0.0168,6.9674,0.0000,4.6527,13.3715,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2415,79680208896,7378333696,408983552,87.2071,494512128,59996160,90.2418,79680208896,7378104320,68230750208,90.2416,79680208896,7378259968,68230828032,90.2417,79680208896,7378182144,7753543680,8371621888,1,0,0,0
1529575204,5112864,4386016,5,207,3187,0.1400,0.0400,0.0700,5936,74.4444,0.0000,0.4209,0.0168,7.0562,0.0000,4.8140,13.3187,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2409,79680208896,7378739200,408983552,87.2071,494512128,59996160,90.2412,79680208896,7378501632,68230348800,90.2410,79680208896,7378665472,68230430720,90.2411,79680208896,7378575360,7753175040,8371621888,1,0,0,0
1529575209,5128960,5004072,6,207,3252,0.2100,0.0400,0.0900,5846,74.3434,0.0000,0.4718,0.0168,7.0923,0.0000,4.8357,13.3109,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2405,79680208896,7379058688,408983552,87.2071,494512128,59996160,90.2407,79680208896,7378886656,68230033408,90.2406,79680208896,7378976768,68230033408,90.2406,79680208896,7378976768,7752716288,8371621888,1,0,0,0
1529575214,5125192,4417568,2,207,3253,0.1900,0.0400,0.0900,5966,74.1876,0.0000,0.4543,0.0168,6.9540,0.0000,4.8797,13.4780,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2400,79680208896,7379451904,408983552,87.2071,494512128,59996160,90.2403,79680208896,7379210240,68229632000,90.2401,79680208896,7379378176,68229709824,90.2402,79680208896,7379300352,7752654848,8371621888,1,0,0,0
1529575219,5053784,4374664,5,207,3224,0.1800,0.0400,0.0900,5564,74.4272,0.0000,0.4727,0.0169,6.9512,0.0000,4.8735,13.0655,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2395,79680208896,7379849216,408983552,87.2071,494512128,59996160,90.2398,79680208896,7379611648,68229242880,90.2396,79680208896,7379767296,68229324800,90.2397,79680208896,7379689472,7752986624,8371621888,1,0,0,0
1529575224,5127168,4401696,3,207,3167,0.3200,0.0400,0.1200,5855,74.4186,0.0000,0.4712,0.0168,6.9180,0.0000,5.0505,13.0932,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2389,79680208896,7380238336,408983552,87.2071,494512128,59996160,90.2393,79680208896,7380000768,68228845568,90.2390,79680208896,7380164608,68228923392,90.2391,79680208896,7380086784,7752437760,8371621888,1,0,0,0
1529575229,5124896,4900776,2,207,3252,0.3800,0.0600,0.1300,5640,74.5375,0.0000,0.6727,0.0168,6.9110,0.0000,4.9756,13.0340,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2384,79680208896,7380627456,408983552,87.2071,494512128,59996160,90.2387,79680208896,7380398080,68228456448,90.2385,79680208896,7380553728,68228534272,90.2386,79680208896,7380475904,7752437760,8371621888,1,0,0,0
1529575234,5132056,4402768,2,207,3232,0.3500,0.0600,0.1300,6057,74.4577,0.0000,0.6717,0.0168,6.9549,0.0000,4.8916,13.0814,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2379,79680208896,7381028864,408983552,87.2071,494512128,59996160,90.2382,79680208896,7380791296,68228059136,90.2380,79680208896,7380951040,68228145152,90.2381,79680208896,7380869120,7752065024,8371621888,1,0,0,0
1529575239,5071464,4389488,2,207,3237,0.3200,0.0600,0.1300,5799,74.3130,0.0000,0.6033,0.0167,6.9600,0.0000,4.9598,12.9378,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2374,79680208896,7381426176,408983552,87.2071,494512128,59996160,90.2377,79680208896,7381188608,68227665920,90.2375,79680208896,7381344256,68227739648,90.2376,79680208896,7381270528,7752450048,8371621888,1,0,0,0
1529575244,5103096,4404920,2,207,3220,0.2900,0.0600,0.1300,5980,74.4563,0.0000,0.6023,0.0000,6.9861,0.0000,4.9348,13.0333,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2369,79680208896,7381819392,408983552,87.2071,494512128,59996160,90.2372,79680208896,7381585920,68227264512,90.2369,79680208896,7381745664,68227346432,90.2371,79680208896,7381663744,7751819264,8371621888,1,0,0,0
1529575249,5139048,4893896,3,207,3230,0.2700,0.0600,0.1200,5585,74.4474,0.0000,0.5691,0.0000,6.8700,0.0000,4.9005,13.0566,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2363,79680208896,7382212608,408983552,87.2071,494512128,59996160,90.2366,79680208896,7381979136,68226875392,90.2364,79680208896,7382138880,68226949120,90.2365,79680208896,7382061056,7752081408,8371621888,1,0,0,0
1529575254,5146240,4409176,2,207,3207,0.2500,0.0600,0.1200,6107,74.5229,0.0000,0.5527,0.0000,6.9012,0.0000,4.9548,13.0799,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2359,79680208896,7382536192,408983552,87.2071,494512128,59996160,90.2361,79680208896,7382372352,68226555904,90.2360,79680208896,7382454272,68226633728,90.2361,79680208896,7382376448,7751454720,8371621888,1,0,0,0
1529575259,5045624,4394664,3,207,3239,0.2300,0.0600,0.1200,5642,74.4311,0.0000,0.5534,0.0000,6.8121,0.0000,4.9062,13.1477,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2354,79680208896,7382929408,408983552,87.2071,494512128,59996160,90.2357,79680208896,7382691840,68226154496,90.2355,79680208896,7382855680,68226232320,90.2356,79680208896,7382777856,7751606272,8371621888,1,0,0,0
1529575264,5145784,4411336,2,207,3210,0.2100,0.0500,0.1200,6037,74.5851,0.0000,0.4691,0.0000,6.7797,0.0000,4.8919,13.2350,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2349,79680208896,7383330816,408983552,87.2071,494512128,59996160,90.2352,79680208896,7383093248,68225761280,90.2350,79680208896,7383248896,68225843200,90.2351,79680208896,7383166976,7751340032,8371621888,1,0,0,0
1529575269,5127288,4884152,2,207,3207,0.1900,0.0500,0.1100,5432,74.6436,0.0000,0.4362,0.0000,6.8109,0.0000,4.8666,13.1879,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2343,79680208896,7383724032,408983552,87.2071,494512128,59996160,90.2347,79680208896,7383474176,68225372160,90.2344,79680208896,7383638016,68225449984,90.2345,79680208896,7383560192,7751213056,8371621888,1,0,0,0
1529575274,5095712,4391224,5,207,3299,0.1800,0.0500,0.1100,5910,74.8532,0.0000,0.4532,0.0000,6.8144,0.0000,4.8011,12.9931,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2338,79680208896,7384109056,408983552,87.2071,494512128,59996160,90.2341,79680208896,7383875584,68224974848,90.2339,79680208896,7384035328,68225060864,90.2340,79680208896,7383949312,7750844416,8371621888,1,0,0,0
1529575279,5095376,4413152,3,207,3229,0.1600,0.0500,0.1100,5430,75.0420,0.0000,0.4700,0.0000,6.6857,0.0000,4.8330,12.9406,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2333,79680208896,7384506368,408983552,87.2071,494512128,59996160,90.2336,79680208896,7384272896,68224581632,90.2334,79680208896,7384428544,68224659456,90.2335,79680208896,7384350720,7751225344,8371621888,1,0,0,0
1529575284,5143672,4410256,4,207,3154,0.2300,0.0600,0.1300,5969,75.1849,0.0000,0.4882,0.0000,6.7834,0.0000,4.8436,12.8620,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2328,79680208896,7384903680,408983552,87.2071,494512128,59996160,90.2331,79680208896,7384662016,68224196608,90.2329,79680208896,7384813568,68224266240,90.2330,79680208896,7384743936,7750590464,8371621888,1,0,0,0
1529575289,5171208,4942784,3,207,3212,0.4500,0.0700,0.1700,5526,75.1725,0.0000,0.2865,0.0000,6.8442,0.0000,4.8509,12.5716,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2323,79680208896,7385292800,408983552,87.2071,494512128,59996160,90.2326,79680208896,7385026560,68223795200,90.2324,79680208896,7385214976,68223881216,90.2325,79680208896,7385128960,7750598656,8371621888,1,0,0,0
1529575294,5137704,4407216,2,207,3342,0.7400,0.1000,0.2400,5960,75.5057,0.0000,0.2701,0.0000,6.8063,0.0000,4.7892,12.5760,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2317,79680208896,7385694208,408983552,87.2071,494512128,59996160,90.2321,79680208896,7385444352,68223401984,90.2318,79680208896,7385608192,68223475712,90.2319,79680208896,7385534464,7750209536,8371621888,1,0,0,0
1529575299,5054376,4383472,2,207,3240,0.7600,0.1000,0.2500,5733,75.5447,0.0000,0.2700,0.0000,6.8232,0.0000,4.7410,12.7721,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2313,79680208896,7386017792,408983552,87.2071,494512128,59996160,90.2316,79680208896,7385780224,68223066112,90.2314,79680208896,7385939968,68223148032,90.2315,79680208896,7385862144,7750627328,8371621888,1,0,0,0
1529575304,5144504,4437448,3,207,3262,0.7000,0.1000,0.2500,6072,75.4564,0.0000,0.2706,0.0000,6.7456,0.0000,4.7683,12.7368,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2308,79680208896,7386394624,408983552,87.2071,494512128,59996160,90.2311,79680208896,7386157056,68222689280,90.2309,79680208896,7386316800,68222779392,90.2310,79680208896,7386230784,7749992448,8371621888,1,0,0,0
1529575309,5151432,4885976,2,207,3156,0.6400,0.1000,0.2400,5430,75.5458,0.0000,0.3214,0.0000,6.8393,0.0000,4.7393,12.6544,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2303,79680208896,7386796032,408983552,87.2071,494512128,59996160,90.2306,79680208896,7386537984,68222304256,90.2304,79680208896,7386705920,68222390272,90.2305,79680208896,7386619904,7749980160,8371621888,1,0,0,0
1529575314,5096256,4373768,4,207,3300,0.8300,0.1000,0.2900,6024,75.6395,0.0000,0.3389,0.0000,6.7300,0.0000,4.6248,12.6567,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2298,79680208896,7387185152,408983552,87.2071,494512128,59996160,90.2301,79680208896,7386947584,68221902848,90.2299,79680208896,7387107328,68221976576,90.2300,79680208896,7387033600,7749615616,8371621888,1,0,0,0
1529575319,5087344,4422208,2,207,3242,0.7600,0.1100,0.2800,5520,75.6569,0.0000,0.3894,0.0000,6.7974,0.0000,4.6894,12.6968,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2292,79680208896,7387582464,408983552,87.2071,494512128,59996160,90.2295,79680208896,7387348992,68221505536,90.2293,79680208896,7387504640,68221583360,90.2294,79680208896,7387426816,7749623808,8371621888,1,0,0,0
1529575324,5138304,4406592,2,207,3228,0.7000,0.1100,0.2800,6007,75.5033,0.0000,0.3891,0.0000,6.8401,0.0000,4.7708,12.6713,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2287,79680208896,7387979776,408983552,87.2071,494512128,59996160,90.2290,79680208896,7387742208,68221116416,90.2288,79680208896,7387893760,68221190144,90.2289,79680208896,7387820032,7749246976,8371621888,1,0,0,0
1529575329,5135624,4884152,5,207,3224,0.6400,0.1100,0.2700,5714,75.2957,0.0000,0.4222,0.0000,6.7342,0.0000,4.8311,12.7322,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2282,79680208896,7388372992,408983552,87.2071,494512128,59996160,90.2285,79680208896,7388127232,68220715008,90.2283,79680208896,7388295168,68220792832,90.2284,79680208896,7388217344,7748886528,8371621888,1,0,0,0
1529575334,5135032,4430864,4,219,3257,0.5900,0.1100,0.2700,6221,75.0887,0.0000,0.4724,0.0000,6.7825,0.0000,4.9612,12.8564,4204748800,97.8995,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2277,79680208896,7388770304,408983552,87.2071,494512128,59996160,90.2280,79680208896,7388528640,68220325888,90.2278,79680208896,7388684288,68220399616,90.2279,79680208896,7388610560,7748857856,8371621888,1,0,0,0
1529575339,5063272,4378520,4,213,3259,0.6300,0.1200,0.2800,5636,72.8177,0.0000,0.4381,0.0000,6.7206,0.0000,5.1744,17.3547,4204761088,97.8998,4294963200,95.5599,99.7583,95.5599,95.5599,95.5599,90.2271,79680208896,7389159424,408983552,87.2071,494512128,59996160,90.2275,79680208896,7388921856,68219928576,90.2272,79680208896,7389081600,68220010496,90.2274,79680208896,7388999680,7744888832,8371621888,0,1,0,0
