timestamp,bono_normal,bono_cpu/limit,bono_cpu/request,bono_cpu/usage,bono_cpu/usage_rate,bono_filesystem/limit,bono_filesystem/usage,bono_memory/cache,bono_memory/limit,bono_memory/major_page_faults,bono_memory/major_page_faults_rate,bono_memory/page_faults,bono_memory/page_faults_rate,bono_memory/request,bono_memory/rss,bono_memory/usage,bono_memory/working_set,bono_uptime,bono_normal,homestead_normal,homestead_cpu/limit,homestead_cpu/request,homestead_cpu/usage,homestead_cpu/usage_rate,homestead_filesystem/limit,homestead_filesystem/usage,homestead_memory/cache,homestead_memory/limit,homestead_memory/major_page_faults,homestead_memory/major_page_faults_rate,homestead_memory/page_faults,homestead_memory/page_faults_rate,homestead_memory/request,homestead_memory/rss,homestead_memory/usage,homestead_memory/working_set,homestead_uptime,homestead_normal,sprout_normal,sprout_cpu/limit,sprout_cpu/request,sprout_cpu/usage,sprout_cpu/usage_rate,sprout_filesystem/limit,sprout_filesystem/usage,sprout_memory/cache,sprout_memory/limit,sprout_memory/major_page_faults,sprout_memory/major_page_faults_rate,sprout_memory/page_faults,sprout_memory/page_faults_rate,sprout_memory/request,sprout_memory/rss,sprout_memory/usage,sprout_memory/working_set,sprout_uptime,sprout_normal,bono_cpu,bono_mem,bono_io,homestead_cpu,homestead_mem,homestead_io,sprout_cpu,sprout_mem,sprout_io,normal
1529575320,0,0,0,258728924217,32,79680208896,1400832,4726784,0,0,0,14303710,85.48958587646484,0,84115456,88932352,88887296,79755648,0,1,0,0,1933323793425,184,79680208896,286720,658616320,0,0,0,10067122,127.80779266357422,0,118251520,776925184,776871936,79670393,1,1,0,0,6596860189453,726,79680208896,253952,68075520,0,0,0,23621912,315.2776184082031,0,1175060480,1243136000,1243095040,79750186,1,0,0,1,0,0,0,0,0,0,0
1529575340,1,0,0,259595850250,32,79680208896,1400832,4726784,0,0,0,14308656,184.96669006347656,0,84115456,88842240,88797184,79775525,1,0,0,0,1935801874421,182,79680208896,286720,659623936,0,0,0,10069151,149.29730224609375,0,118755328,778432512,778379264,79690427,0,1,0,0,6608631480936,730,79680208896,253952,68239360,0,0,0,23627139,324.42071533203125,0,1175060480,1243414528,1243373568,79770176,1,0,0,0,1,0,0,0,0,0,0
1529575360,1,0,0,259660242895,2,79680208896,1400832,4726784,0,0,0,14312323,162.1092529296875,0,84115456,88932352,88887296,79795552,1,0,0,0,1941105610431,176,79680208896,286720,661876736,0,0,0,10071784,87.68185424804688,0,119402496,781348864,781295616,79710475,0,1,0,0,6629421195387,707,79680208896,253952,68526080,0,0,0,23636960,334.39874267578125,0,1175060480,1243709440,1243668480,79790205,1,0,0,0,1,0,0,0,0,0,0
1529575380,1,0,0,259691738025,2,79680208896,1400832,4726784,0,0,0,14314150,165.1508331298828,0,84115456,88842240,88797184,79815535,1,0,0,0,1943387232064,180,79680208896,286720,662818816,0,0,0,10072913,89.40103912353516,0,119844864,782786560,782733312,79730443,0,1,0,0,6641205819497,720,79680208896,253952,68685824,0,0,0,23642355,329.9849548339844,0,1175060480,1243824128,1243783168,79810301,1,0,0,0,1,0,0,0,0,0,0
1529575400,1,0,0,259781156041,3,79680208896,1400832,4726784,0,0,0,14319364,204.4044952392578,0,84115456,88928256,88883200,79835559,1,0,0,0,1948579318061,179,79680208896,286720,664981504,0,0,0,10076094,109.91181182861328,0,120455168,785518592,785465344,79750518,0,1,0,0,6649524932892,717,79680208896,253952,68800512,0,0,0,23646195,331.314697265625,0,1175060480,1243860992,1243820032,79830234,1,0,0,0,1,0,0,0,0,0,0
1529575420,1,0,0,259841059708,3,79680208896,1400832,4726784,0,0,0,14322473,178.50941467285156,0,84115456,88932352,88887296,79855535,1,0,0,0,1950378115115,174,79680208896,286720,665747456,0,0,0,10077182,105.79563903808594,0,120745984,786567168,786513920,79770445,0,1,0,0,6663156503762,713,79680208896,253952,68993024,0,0,0,23652338,321.5113220214844,0,1175060480,1244180480,1244139520,79850161,1,0,0,0,1,0,0,0,0,0,0
1529575440,1,0,0,259880530461,2,79680208896,1400832,4726784,0,0,0,14324038,94.884765625,0,84115456,88842240,88797184,79875514,1,0,0,0,1953994699185,181,79680208896,286720,667230208,0,0,0,10079044,93.61033630371094,0,121290752,788643840,788590592,79790385,0,1,0,0,6676683934563,724,79680208896,253952,69173248,0,0,0,23659282,371.8436279296875,0,1175060480,1244360704,1244319744,79870272,1,0,0,0,1,0,0,0,0,0,0
1529575460,1,0,0,259941423492,3,79680208896,1400832,4726784,0,0,0,14327573,185.3402099609375,0,84115456,88842240,88797184,79895497,1,0,0,0,1958988519750,180,79680208896,286720,669298688,0,0,0,10082240,115.5107192993164,0,122081280,791453696,791400448,79810355,0,1,0,0,6691225747409,732,79680208896,253952,69369856,0,0,0,23665290,302.6597900390625,0,1175060480,1244430336,1244389376,79890256,1,0,0,0,1,0,0,0,0,0,0
1529575480,1,0,0,259996926433,3,79680208896,1400832,4726784,0,0,0,14331242,237.5271453857422,0,84115456,88842240,88797184,79915462,1,0,0,0,1963091714131,179,79680208896,286720,671010816,0,0,0,10084163,83.95698547363281,0,122736640,793751552,793698304,79830440,0,1,0,0,6703849294205,736,79680208896,253952,69537792,0,0,0,23670551,307.008544921875,0,1175060480,1244721152,1244680192,79910210,1,0,0,0,1,0,0,0,0,0,0
1529575500,1,0,0,260098298285,2,79680208896,1400832,4730880,0,0,0,14336769,157.24908447265625,0,84115456,88846336,88801280,79935488,1,0,0,0,1966086916596,177,79680208896,286720,672268288,0,0,0,10086012,109.70738220214844,0,123138048,795504640,795451392,79850401,0,1,0,0,6728556547169,725,79680208896,253952,69873664,0,0,0,23681676,326.8873291015625,0,1175060480,1245007872,1244966912,79930173,1,0,0,0,1,0,0,0,0,0,0
1529575520,1,0,0,260128595519,2,79680208896,1404928,4730880,0,0,0,14338603,178.9703826904297,0,84115456,88895488,88850432,79955528,1,0,0,0,1969072667169,176,79680208896,286720,673529856,0,0,0,10088043,120.04452514648438,0,123588608,797155328,797102080,79870358,0,1,0,0,6741590603229,727,79680208896,253952,70049792,0,0,0,23686737,282.6456298828125,0,1175060480,1245237248,1245196288,79950197,1,0,0,0,1,0,0,0,0,0,0
1529575540,1,0,0,260183664317,3,79680208896,1404928,4730880,0,0,0,14342244,229.85107421875,0,84115456,88932352,88887296,79975543,1,0,0,0,1973168796220,176,79680208896,286720,675266560,0,0,0,10090592,109.66133880615234,0,124272640,799653888,799600640,79890490,0,1,0,0,6754496688012,712,79680208896,253952,70234112,0,0,0,23692880,339.0066833496094,0,1175060480,1245364224,1245323264,79970225,1,0,0,0,1,0,0,0,0,0,0
1529575560,1,0,0,260247425141,3,79680208896,1404928,4734976,0,0,0,14345890,188.202880859375,0,84115456,88850432,88805376,79995528,1,0,0,0,1977156041495,180,79680208896,286720,676917248,0,0,0,10092735,96.9299087524414,0,124747776,801751040,801697792,79910372,0,1,0,0,6765735034498,725,79680208896,253952,70381568,0,0,0,23698113,337.9254150390625,0,1175060480,1245569024,1245528064,79990238,1,0,0,0,1,0,0,0,0,0,0
1529575580,1,0,0,260347284918,2,79680208896,1404928,4734976,0,0,0,14351139,149.59658813476562,0,84115456,88940544,88895488,80015479,1,1,0,0,1980548025921,185,79680208896,286720,678285312,0,0,0,10094610,102.40058135986328,0,125358080,803770368,803717120,79930346,1,0,0,0,6779589650658,725,79680208896,253952,70574080,0,0,0,23704800,350.1911315917969,0,1175060480,1245761536,1245720576,80010249,0,0,0,0,0,0,0,0,1,0,0
1529575600,1,0,0,260403452057,4,79680208896,1404928,4734976,0,0,0,14354796,288.80938720703125,0,84115456,88850432,88805376,80035530,1,1,0,0,1982847586834,174,79680208896,286720,679202816,0,0,0,10095820,91.99222564697266,0,126029824,805335040,805281792,79950377,1,0,0,0,6789795791762,675,79680208896,253952,70725632,0,0,0,23708881,270.17251586914057,0,1175060480,1245794304,1245753344,80030240,0,0,0,0,0,0,0,0,1,0,0
1529575620,1,0,0,260437703292,2,79680208896,1404928,4734976,0,0,0,14356630,154.7375030517578,0,84115456,88940544,88895488,80055501,1,1,0,0,1985313884129,192,79680208896,286720,680189952,0,0,0,10097817,155.61402893066406,0,126382080,806621184,806567936,79970420,1,0,0,0,6811956545144,740,79680208896,253952,71008256,0,0,0,23719042,339.60479736328125,0,1175060480,1246187520,1246146560,80050184,0,0,0,0,0,0,0,0,1,0,0
1529575640,1,0,0,260558952974,3,79680208896,1404928,4734976,0,0,0,14363408,185.02149963378903,0,84115456,88850432,88805376,80075524,1,0,0,0,1991054215770,185,79680208896,286720,682504192,0,0,0,10102474,150.3159942626953,0,127180800,809787392,809734144,79990403,0,1,0,0,6832420402329,711,79680208896,253952,71303168,0,0,0,23727728,302.0911865234375,0,1175060480,1246425088,1246384128,80070177,1,0,0,0,0,0,1,0,0,0,0
1529575660,1,0,0,260603558314,2,79680208896,1404928,4734976,0,0,0,14364995,85.03482818603516,0,84115456,88899584,88854528,80095468,1,0,0,0,1994442418830,227,79680208896,286720,683589632,0,0,0,10103383,60.91550064086914,0,127737856,811413504,811360256,80010497,0,1,0,0,6842455304254,753,79680208896,253952,71434240,0,0,0,23732207,336.2925109863281,0,1175060480,1246494720,1246453760,80090177,1,0,0,0,0,0,1,0,0,0,0
