timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime,normal,cpu,mem,io
1529575840,0,0,261171721605,3,79680208896,1409024,4739072,0,0,0,14397384,207.91477966308597,0,84115456,88854528,88809472,80275426,1,0,0,0
1529575860,0,0,261266604609,3,79680208896,1409024,4743168,0,0,0,14402614,175.08456420898438,0,84115456,88858624,88813568,80295457,1,0,0,0
1529575880,0,0,261304438273,2,79680208896,1409024,4743168,0,0,0,14404474,118.166748046875,0,84115456,88858624,88813568,80315445,1,0,0,0
1529575900,0,0,261336288641,3,79680208896,1409024,4743168,0,0,0,14406302,177.70509338378906,0,84115456,88981504,88936448,80335513,1,0,0,0
1529575920,0,0,261397408948,3,79680208896,1409024,4743168,0,0,0,14409959,183.88345336914062,0,84115456,88858624,88813568,80355420,1,0,0,0
1529575940,0,0,261459970865,3,79680208896,1409024,4743168,0,0,0,14413629,185.56927490234372,0,84115456,88944640,88899584,80375515,1,0,0,0
1529575960,0,0,261567420820,3,79680208896,1409024,4743168,0,0,0,14420015,188.19728088378903,0,84115456,88858624,88813568,80395508,1,0,0,0
1529575980,0,0,261611556058,3,79680208896,1409024,4743168,0,0,0,14422743,205.9829864501953,0,84115456,88965120,88920064,80415418,1,0,0,0
1529576000,0,0,261671947099,3,79680208896,1409024,4743168,0,0,0,14426119,191.12132263183597,0,84135936,88879104,88834048,80435478,1,0,0,0
1529576020,0,0,261765504164,3,79680208896,1409024,4743168,0,0,0,14431628,187.39134216308597,0,84135936,88879104,88834048,80455533,1,0,0,0
1529576040,0,0,261797133420,3,79680208896,1409024,4743168,0,0,0,14433183,149.54591369628906,0,84135936,88969216,88924160,80475470,1,0,0,0
1529576060,0,0,261859882669,3,79680208896,1409024,4743168,0,0,0,14436843,184.76405334472656,0,84135936,88879104,88834048,80495428,1,0,0,0
1529576080,0,0,261901336547,2,79680208896,1409024,4747264,0,0,0,14438705,107.60647583007812,0,84135936,88969216,88920064,80515513,1,0,0,0
1529576100,0,0,261990792518,3,79680208896,1409024,4747264,0,0,0,14443903,189.84532165527344,0,84135936,88969216,88924160,80535414,1,0,0,0
1529576120,0,0,262052015078,3,79680208896,1413120,4747264,0,0,0,14447580,203.4765472412109,0,84135936,88883200,88838144,80555516,1,0,0,0
1529576140,0,0,262122932752,2,79680208896,1413120,4751360,0,0,0,14450711,120.69457244873048,0,84135936,88932352,88883200,80575511,1,0,0,0
1529576160,0,0,262181387848,3,79680208896,1413120,4751360,0,0,0,14454355,226.0631103515625,0,84135936,89014272,88969216,80595457,1,0,0,0
1529576180,0,0,262243468679,3,79680208896,1413120,4751360,0,0,0,14457739,203.0849609375,0,84135936,88977408,88932352,80615459,1,0,0,0
1529576200,0,0,262319568428,2,79680208896,1413120,4751360,0,0,0,14461147,124.52601623535156,0,84135936,88977408,88932352,80635489,1,0,0,0
1529576220,0,0,262376418477,3,79680208896,1413120,4751360,0,0,0,14464809,212.32205200195312,0,84135936,88887296,88842240,80655451,1,0,0,0
1529576240,0,0,262410676065,3,79680208896,1413120,4751360,0,0,0,14466369,151.5413360595703,0,84135936,88973312,88928256,80675533,1,0,0,0
1529576260,0,0,262504485216,3,79680208896,1413120,4751360,0,0,0,14471857,179.38719177246094,0,84135936,88887296,88842240,80695517,1,0,0,0
1529576280,0,0,262564951540,3,79680208896,1413120,4751360,0,0,0,14475514,204.58770751953125,0,84135936,88973312,88928256,80715460,1,0,0,0
1529576300,0,0,262600174983,2,79680208896,1413120,4751360,0,0,0,14477079,130.0047607421875,0,84135936,88973312,88928256,80735502,1,0,0,0
1529576320,0,0,262663733864,3,79680208896,1413120,4755456,0,0,0,14480729,189.12643432617188,0,84135936,89014272,88965120,80755527,1,0,0,0
1529576340,0,0,262720749301,3,79680208896,1413120,4751360,0,0,0,14483823,180.62489318847656,0,84135936,88887296,88842240,80775451,1,0,0,0
1529576360,0,0,262816970810,3,79680208896,1413120,4755456,0,0,0,14489049,167.5961456298828,0,84135936,88977408,88928256,80795448,1,0,0,0
1529576380,0,0,262846704250,2,79680208896,1413120,4755456,0,0,0,14490877,182.0893096923828,0,84135936,89018368,88973312,80815459,1,0,0,0
1529576400,0,0,262965565185,3,79680208896,1417216,4755456,0,0,0,14497921,199.3985748291016,0,84135936,88891392,88846336,80835515,1,0,0,0
1529576420,0,0,263008007179,2,79680208896,1417216,4755456,0,0,0,14499781,95.60526275634766,0,84135936,88981504,88936448,80855450,1,0,0,0
1529576440,0,0,263065758225,3,79680208896,1417216,4755456,0,0,0,14503169,198.84033203125,0,84135936,88977408,88932352,80875505,1,0,0,0
1529576460,0,0,263140683477,3,79680208896,1417216,4755456,0,0,0,14507208,174.19700622558594,0,84135936,88891392,88846336,80895469,1,0,0,0
1529576480,0,0,263183593973,3,79680208896,1417216,4755456,0,0,0,14509934,197.2103271484375,0,84135936,88891392,88846336,80915526,1,0,0,0
1529576500,0,0,263222429559,2,79680208896,1417216,4759552,0,0,0,14511776,118.0552978515625,0,84135936,88895488,88850432,80935413,1,0,0,0
1529576520,0,0,263312713575,3,79680208896,1417216,4759552,0,0,0,14517272,195.73452758789062,0,84135936,88981504,88936448,80955445,1,0,0,0
1529576540,0,0,263363565847,3,79680208896,1417216,4759552,0,0,0,14520910,271.02978515625,0,84135936,88895488,88850432,80975488,1,0,0,0
1529576560,0,0,263404744196,2,79680208896,1417216,4759552,0,0,0,14522764,109.08416748046876,0,84135936,88981504,88936448,80995501,1,0,0,0
1529576580,0,0,263459478336,3,79680208896,1417216,4759552,0,0,0,14526410,243.47422790527344,0,84135936,88985600,88940544,81015507,1,0,0,0
1529576600,0,0,263554295080,3,79680208896,1417216,4759552,0,0,0,14531907,181.2987823486328,0,84135936,88895488,88850432,81035466,1,0,0,0
1529576620,0,0,263613920030,3,79680208896,1417216,4759552,0,0,0,14535290,197.1538848876953,0,84135936,88895488,88850432,81055467,0,0,1,0
1529576640,0,0,263684931696,2,79680208896,1417216,4759552,0,0,0,14538708,126.90174865722656,0,84135936,88981504,88936448,81075423,0,0,1,0
