timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime,normal,cpu,mem,io
1529575800,0,0,6947561086496,766,79680208896,253952,72790016,0,0,0,23776645,296.3714294433594,0,1175060480,1247977472,1247936512,80230209,1,0,0,0
1529575820,0,0,6961908840387,756,79680208896,253952,72978432,0,0,0,23782422,304.6290588378906,0,1175060480,1248165888,1248124928,80250266,1,0,0,0
1529575840,0,0,6981248306054,773,79680208896,253952,73224192,0,0,0,23791271,353.8610534667969,0,1175060480,1248284672,1248243712,80270157,1,0,0,0
1529575860,0,0,6993133521628,753,79680208896,253952,73379840,0,0,0,23795904,293.9047546386719,0,1175060480,1248559104,1248518144,80290220,1,0,0,0
1529575880,0,0,7007716369368,755,79680208896,253952,73568256,0,0,0,23801818,306.1962585449219,0,1175060480,1248755712,1248714752,80310229,1,0,0,0
1529575900,0,0,7019517312991,756,79680208896,253952,73723904,0,0,0,23807017,333.4078674316406,0,1175060480,1248858112,1248817152,80330162,1,0,0,0
1529575920,0,0,7042130537288,759,79680208896,253952,74010624,0,0,0,23816298,311.56158447265625,0,1175060480,1249071104,1249030144,80350180,1,0,0,0
1529575940,0,0,7055068783870,766,79680208896,253952,74178560,0,0,0,23821553,311.4924011230469,0,1175060480,1249239040,1249198080,80370194,1,0,0,0
1529575960,0,0,7066196776827,712,79680208896,253952,74334208,0,0,0,23826621,324.6781311035156,0,1175060480,1249460224,1249419264,80390194,0,0,1,0
1529575980,0,0,7088338975672,738,79680208896,253952,74616832,0,0,0,23836671,335.2239074707031,0,1175060480,1249767424,1249726464,80410155,0,0,1,0
1529576000,0,0,7097128154119,707,79680208896,253952,74743808,0,0,0,23840130,278.45309448242193,0,1175060480,1249873920,1249832960,80430158,0,0,1,0
1529576020,0,0,7107907438931,702,79680208896,253952,74899456,0,0,0,23845472,348.242919921875,0,1175060480,1250086912,1250045952,80450267,0,0,1,0
1529576040,0,0,7119824114699,708,79680208896,253952,75067392,0,0,0,23850562,302.7062683105469,0,1165885440,1241079808,1241038848,80470306,0,0,1,0
1529576060,0,0,7142855586097,725,79680208896,253952,75378688,0,0,0,23861765,352.9153137207031,0,1165885440,1241264128,1241223168,80490260,1,0,0,0
1529576080,0,0,7156232699671,750,79680208896,253952,75558912,0,0,0,23867282,309.4604797363281,0,1165885440,1241444352,1241403392,80510229,1,0,0,0
1529576100,0,0,7165665976426,793,79680208896,253952,75673600,0,0,0,23870817,297.193115234375,0,1166036992,1241710592,1241669632,80530241,1,0,0,0
1529576120,0,0,7180364279648,765,79680208896,253952,75862016,0,0,0,23876804,311.7763366699219,0,1165885440,1241870336,1241829376,80550247,1,0,0,0
1529576140,0,0,7202428490867,754,79680208896,253952,76148736,0,0,0,23886546,333.1971435546875,0,1165885440,1242034176,1241993216,80570322,1,0,0,0
1529576160,0,0,7221342485057,789,79680208896,253952,76378112,0,0,0,23894160,317.89654541015625,0,1165885440,1242390528,1242349568,80590249,1,0,0,0
1529576180,0,0,7234260839587,755,79680208896,253952,76550144,0,0,0,23898558,257.3553466796875,0,1165885440,1242562560,1242521600,80610300,1,0,0,0
1529576200,0,0,7248149303531,762,79680208896,253952,76734464,0,0,0,23904558,329.2904052734375,0,1165885440,1242701824,1242660864,80630326,1,0,0,0
1529576220,0,0,7268227649942,762,79680208896,253952,76992512,0,0,0,23913329,332.98681640625,0,1165885440,1242963968,1242923008,80650322,1,0,0,0
1529576240,0,0,7276075329891,738,79680208896,253952,77094912,0,0,0,23917203,364.79931640625,0,1165885440,1243107328,1243066368,80670249,1,0,0,0
1529576260,0,0,7285599872718,642,79680208896,253952,77258752,0,0,0,23921995,323.2472839355469,0,1165885440,1243144192,1243099136,80690313,1,0,0,0
1529576280,0,0,7300880565721,786,79680208896,253952,77451264,0,0,0,23927978,307.7922058105469,0,1165889536,1243451392,1243410432,80710385,1,0,0,0
1529576300,0,0,7327068455251,774,79680208896,253952,77758464,0,0,0,23939030,326.7929382324219,0,1165889536,1243725824,1243684864,80730317,1,0,0,0
1529576320,0,0,7342228089001,758,79680208896,253952,77955072,0,0,0,23945612,329.4580383300781,0,1165889536,1243844608,1243803648,80750296,1,0,0,0
1529576340,0,0,7356685492306,761,79680208896,253952,78139392,0,0,0,23951645,317.61187744140625,0,1165889536,1244098560,1244057600,80770312,1,0,0,0
1529576360,0,0,7367677726842,766,79680208896,253952,78286848,0,0,0,23956102,310.8703308105469,0,1165889536,1244295168,1244254208,80790313,1,0,0,0
1529576380,0,0,7377803763807,781,79680208896,253952,78409728,0,0,0,23960548,343.1803283691406,0,1166196736,1244712960,1244672000,80810293,1,0,0,0
1529576400,0,0,7402064147660,754,79680208896,253952,78721024,0,0,0,23971140,329.1968078613281,0,1165889536,1244688384,1244647424,80830333,1,0,0,0
1529576420,0,0,7409939985642,770,79680208896,253952,78823424,0,0,0,23974836,361.6664733886719,0,1165889536,1244839936,1244798976,80850298,1,0,0,0
1529576440,0,0,7434383805135,767,79680208896,253952,79130624,0,0,0,23984596,306.4577941894531,0,1165889536,1245106176,1245065216,80870285,1,0,0,0
1529576460,0,0,7448951824440,740,79680208896,253952,79323136,0,0,0,23990684,309.2512512207031,0,1165889536,1245335552,1245294592,80890302,1,0,0,0
1529576480,0,0,7463367929802,741,79680208896,253952,79515648,0,0,0,23995980,272.53805541992193,0,1165889536,1245405184,1245364224,80910332,1,0,0,0
1529576500,0,0,7477688042842,730,79680208896,253952,79716352,0,0,0,24002078,310.9349060058594,0,1165889536,1245728768,1245687808,80930336,1,0,0,0
1529576520,0,0,7488821303544,745,79680208896,253952,79855616,0,0,0,24006023,263.98690795898443,0,1165889536,1245868032,1245827072,80950311,1,0,0,0
1529576540,0,0,7498913936409,765,79680208896,253952,79986688,0,0,0,24010372,329.7847900390625,0,1165889536,1245876224,1245835264,80970330,1,0,0,0
1529576560,0,0,7519312497218,753,79680208896,253952,80248832,0,0,0,24018302,293.0179138183594,0,1165889536,1246265344,1246224384,80990273,1,0,0,0
