timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime
1529507740,0,0,39812646227,2,79680208896,438272,2920448,0,0,0,2222240,84.43577575683594,0,83980288,87027712,86982656,12175528
1529507760,0,0,39873658095,3,79680208896,438272,2920448,0,0,0,2225890,198.84767150878906,0,83980288,86900736,86855680,12195503
1529507780,0,0,39956379279,3,79680208896,442368,2920448,0,0,0,2231376,237.13023376464844,0,83980288,86900736,86855680,12215441
1529507800,0,0,40027433082,2,79680208896,442368,2920448,0,0,0,2235083,139.34642028808594,0,83980288,86900736,86855680,12235480
1529507820,0,0,40083185113,4,79680208896,442368,2920448,0,0,0,2238174,226.06353759765625,0,83980288,86990848,86945792,12255533
1529507840,0,0,40124900841,2,79680208896,442368,2920448,0,0,0,2240024,114.44226837158203,0,83984384,86994944,86949888,12275488
1529507860,0,0,40179405612,3,79680208896,442368,2920448,0,0,0,2243677,247.54368591308594,0,83984384,87031808,86986752,12295542
1529507880,0,0,40273440241,3,79680208896,442368,2920448,0,0,0,2248899,168.59649658203125,0,83984384,86904832,86859776,12315514
1529507900,0,0,40312532400,2,79680208896,442368,2924544,0,0,0,2250758,117.00057220458984,0,83984384,86994944,86949888,12335477
1529507920,0,0,40412161911,3,79680208896,442368,2924544,0,0,0,2256231,185.5032196044922,0,83984384,86908928,86863872,12355532
1529507940,0,0,40469983987,3,79680208896,442368,2924544,0,0,0,2259897,213.82498168945312,0,83984384,86908928,86863872,12375550
1529507960,0,0,40529145791,3,79680208896,442368,2924544,0,0,0,2263543,202.1519317626953,0,83984384,86908928,86863872,12395507
1529507980,0,0,40566899839,2,79680208896,442368,2924544,0,0,0,2265395,117.19810485839844,0,83984384,86908928,86863872,12415543
1529508000,0,0,40655136603,3,79680208896,446464,2928640,0,0,0,2270892,211.33131408691406,0,83984384,86913024,86867968,12435516
1529508020,0,0,40714886287,3,79680208896,446464,2928640,0,0,0,2274562,191.75491333007812,0,83984384,87035904,86990848,12455497
1529508040,0,0,40770615294,3,79680208896,446464,2928640,0,0,0,2278220,231.26287841796875,0,83984384,86913024,86867968,12475489
1529508060,0,0,40839646148,2,79680208896,446464,2928640,0,0,0,2281903,144.07293701171875,0,83984384,86913024,86867968,12495507
1529508080,0,0,40893787210,3,79680208896,446464,2928640,0,0,0,2285274,232.40855407714844,0,83984384,86913024,86867968,12515504
1529508100,0,0,40934617654,2,79680208896,446464,2928640,0,0,0,2287129,102.55941772460938,0,83984384,87040000,86994944,12535505
1529508120,0,0,41028151138,3,79680208896,446464,2928640,0,0,0,2292617,178.78587341308594,0,83984384,86999040,86953984,12555500
1529508140,0,0,41077250956,4,79680208896,446464,2928640,0,0,0,2296243,301.2522888183594,0,83984384,86913024,86867968,12575489
1529508160,0,0,41149147376,2,79680208896,446464,2928640,0,0,0,2299958,133.38623046875,0,83984384,87003136,86958080,12595570
1529508180,0,0,41204430090,3,79680208896,446464,2928640,0,0,0,2303338,216.81578063964844,0,83984384,86913024,86867968,12615525
1529508200,0,0,41238348766,2,79680208896,446464,2928640,0,0,0,2305177,131.7228240966797,0,83984384,86913024,86867968,12635460
1529508220,0,0,41299327993,3,79680208896,446464,2932736,0,0,0,2308842,185.0298614501953,0,83984384,86917120,86872064,12655577
1529508240,0,0,41392270088,3,79680208896,446464,2932736,0,0,0,2314336,181.81919860839844,0,83984384,87003136,86958080,12675493
1529508260,0,0,41423499710,2,79680208896,446464,2932736,0,0,0,2316173,167.4052734375,0,83984384,87007232,86962176,12695457
