timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime
1529507700,0,0,2345607575657,352,79680208896,253952,31350784,0,0,0,3974754,327.8491516113281,0,1152106496,1183457280,1183412224,12130379
1529507720,0,0,2350599174123,358,79680208896,253952,31416320,0,0,0,3978355,258.5511474609375,0,1152106496,1183645696,1183604736,12150255
1529507740,0,0,2354914787481,348,79680208896,253952,31477760,0,0,0,3981301,237.8269500732422,0,1152106496,1183584256,1183543296,12170234
1529507760,0,0,2361375000773,350,79680208896,253952,31571968,0,0,0,3987548,338.68426513671875,0,1152106496,1183678464,1183637504,12190268
1529507780,0,0,2373982794061,351,79680208896,253952,31752192,0,0,0,3997735,284.0294189453125,0,1152106496,1183981568,1183940608,12210255
1529507800,0,0,2380570435139,345,79680208896,253952,31846400,0,0,0,4003658,310.77191162109375,0,1152106496,1184079872,1184038912,12230266
1529507820,0,0,2385360124373,344,79680208896,253952,31916032,0,0,0,4007124,249.5042266845703,0,1152106496,1184149504,1184108544,12250343
1529507840,0,0,2391808772570,353,79680208896,253952,32010240,0,0,0,4012677,304.046875,0,1152106496,1184116736,1184075776,12270300
1529507860,0,0,2402427629610,353,79680208896,253952,32157696,0,0,0,4022103,313.566162109375,0,1152106496,1184264192,1184223232,12290254
1529507880,0,0,2408979437907,347,79680208896,253952,32251904,0,0,0,4027729,298.5666809082031,0,1152106496,1184358400,1184317440,12310304
1529507900,0,0,2415595286412,342,79680208896,253952,32350208,0,0,0,4033402,293.9256286621094,0,1152106496,1184583680,1184542720,12330274
1529507920,0,0,2420916178968,348,79680208896,253952,32423936,0,0,0,4037242,251.5515899658203,0,1152106496,1184649216,1184608256,12350333
1529507940,0,0,2427867242611,357,79680208896,253952,32522240,0,0,0,4043399,316.6608581542969,0,1152106496,1184755712,1184714752,12370246
1529507960,0,0,2436425503172,348,79680208896,253952,32641024,0,0,0,4051329,323.0614318847656,0,1152106496,1184747520,1184706560,12390175
1529507980,0,0,2442087949382,361,79680208896,253952,32722944,0,0,0,4055684,277.76055908203125,0,1152106496,1184858112,1184817152,12410218
1529508000,0,0,2448596815922,352,79680208896,253952,32813056,0,0,0,4061393,308.8280944824219,0,1152106496,1184919552,1184878592,12430253
1529508020,0,0,2458266461369,352,79680208896,253952,32952320,0,0,0,4070702,339.6176452636719,0,1152106496,1185058816,1185017856,12450146
1529508040,0,0,2465864179357,346,79680208896,253952,33062912,0,0,0,4077624,315.73236083984375,0,1152262144,1185447936,1185406976,12470181
1529508060,0,0,2471298953659,351,79680208896,253952,33136640,0,0,0,4082725,329.51947021484375,0,1152638976,1185775616,1185734656,12490271
1529508080,0,0,2478280628307,354,79680208896,253952,33239040,0,0,0,4089236,330.7254333496094,0,1152638976,1185878016,1185832960,12510229
1529508100,0,0,2484923687099,355,79680208896,253952,33333248,0,0,0,4094175,264.07037353515625,0,1153728512,1187188736,1187147776,12530232
1529508120,0,0,2493404234611,348,79680208896,253952,33452032,0,0,0,4102333,334.7719421386719,0,1155444736,1189023744,1188982784,12550215
1529508140,0,0,2500311039243,355,79680208896,253952,33550336,0,0,0,4108050,294.3155517578125,0,1155899392,1189449728,1189408768,12570261
