timestamp,homestead_cpu/limit,homestead_cpu/request,homestead_cpu/usage,homestead_cpu/usage_rate,homestead_filesystem/limit,homestead_filesystem/usage,homestead_memory/cache,homestead_memory/limit,homestead_memory/major_page_faults,homestead_memory/major_page_faults_rate,homestead_memory/page_faults,homestead_memory/page_faults_rate,homestead_memory/request,homestead_memory/rss,homestead_memory/usage,homestead_memory/working_set,homestead_uptime,sprout_cpu/limit,sprout_cpu/request,sprout_cpu/usage,sprout_cpu/usage_rate,sprout_filesystem/limit,sprout_filesystem/usage,sprout_memory/cache,sprout_memory/limit,sprout_memory/major_page_faults,sprout_memory/major_page_faults_rate,sprout_memory/page_faults,sprout_memory/page_faults_rate,sprout_memory/request,sprout_memory/rss,sprout_memory/usage,sprout_memory/working_set,sprout_uptime,bono_cpu/limit,bono_cpu/request,bono_cpu/usage,bono_cpu/usage_rate,bono_filesystem/limit,bono_filesystem/usage,bono_memory/cache,bono_memory/limit,bono_memory/major_page_faults,bono_memory/major_page_faults_rate,bono_memory/page_faults,bono_memory/page_faults_rate,bono_memory/request,bono_memory/rss,bono_memory/usage,bono_memory/working_set,bono_uptime
1529507200,0,0,586406809954,102,79680208896,282624,214470656,0,0,0,1544965,123.90355682373048,0,59088896,273649664,273592320,11550330,0,0,2169856757360,360,79680208896,253952,28848128,0,0,0,3823895,308.7558288574219,0,1191915520,1220890624,1220849664,11630324,0,0,38163941780,3,79680208896,434176,2908160,0,0,0,2127841,225.6179656982422,0,83976192,86970368,86925312,11635466
1529507220,0,0,588217784345,95,79680208896,282624,215183360,0,0,0,1547297,122.40634155273438,0,59363328,274669568,274612224,11570371,0,0,2178064123153,349,79680208896,253952,28962816,0,0,0,3830288,272.13919067382807,0,1191915520,1220878336,1220837376,11650253,0,0,38251774155,3,79680208896,434176,2908160,0,0,0,2132493,173.6536865234375,0,83980288,86888448,86843392,11655451
1529507240,0,0,590943405245,94,79680208896,282624,216260608,0,0,0,1550971,127.71984100341795,0,59805696,276176896,276119552,11590303,0,0,2184248488676,347,79680208896,253952,29052928,0,0,0,3836171,330.60186767578125,0,1191915520,1221054464,1221013504,11670329,0,0,38292955278,2,79680208896,434176,2908160,0,0,0,2134351,104.06320190429688,0,83980288,86974464,86929408,11675581
1529507260,0,0,592104453017,105,79680208896,282624,216670208,0,0,0,1552023,95.7183609008789,0,59965440,276684800,276627456,11610362,0,0,2190449690359,356,79680208896,253952,29143040,0,0,0,3842312,352.5838317871094,0,1191915520,1221058560,1221017600,11690260,0,0,38348598121,3,79680208896,434176,2908160,0,0,0,2138002,227.57362365722656,0,83980288,86888448,86843392,11695532
1529507280,0,0,594794916563,101,79680208896,282624,217661440,0,0,0,1555719,139.38963317871094,0,60506112,278212608,278155264,11630362,0,0,2194975189241,349,79680208896,253952,29204480,0,0,0,3846478,321.3234558105469,0,1191915520,1221177344,1221136384,11710261,0,0,38408113635,3,79680208896,434176,2908160,0,0,0,2141658,210.2968597412109,0,83980288,86888448,86843392,11715534
1529507300,0,0,595959913127,95,79680208896,282624,218120192,0,0,0,1556768,85.7345199584961,0,60669952,278908928,278851584,11650334,0,0,2204533448340,345,79680208896,253952,29343744,0,0,0,3854269,281.22463989257807,0,1191915520,1221386240,1221345280,11730270,0,0,38480383426,2,79680208896,434176,2908160,0,0,0,2145349,136.85377502441406,0,83980288,86974464,86929408,11735516
1529507320,0,0,598792325438,94,79680208896,282624,219238400,0,0,0,1560445,122.82874298095705,0,61079552,280408064,280350720,11670263,0,0,2210907433324,352,79680208896,253952,29433856,0,0,0,3858857,253.6185607910156,0,1191915520,1221476352,1221435392,11750315,0,0,38538060782,3,79680208896,434176,2908160,0,0,0,2149006,206.2628936767578,0,83980288,86978560,86933504,11755536
1529507340,0,0,600951482321,95,79680208896,282624,220090368,0,0,0,1562824,104.98181915283205,0,61468672,281595904,281538560,11690358,0,0,2217613125729,355,79680208896,253952,29528064,0,0,0,3864182,282.1549072265625,0,1191915520,1221443584,1221402624,11770306,0,0,38572134544,2,79680208896,434176,2908160,0,0,0,2150853,157.186767578125,0,83980288,86978560,86933504,11775457
1529507360,0,0,602177202545,96,79680208896,282624,220565504,0,0,0,1564515,132.92288208007812,0,61739008,282398720,282341376,11710311,0,0,2226861132589,345,79680208896,253952,29663232,0,0,0,3873129,334.47552490234375,0,1191915520,1221578752,1221537792,11790307,0,0,38675246408,3,79680208896,434176,2908160,0,0,0,2156975,191.6500396728516,0,83980288,86888448,86843392,11795494
1529507380,0,0,603750460809,96,79680208896,282624,221171712,0,0,0,1566507,122.52078247070312,0,61972480,283176960,283119616,11730363,0,0,2231053678141,351,79680208896,253952,29720576,0,0,0,3876982,323.22528076171875,0,1191915520,1221763072,1221722112,11810273,0,0,38716399023,3,79680208896,434176,2908160,0,0,0,2159717,230.70689392089844,0,83980288,86888448,86843392,11815509
