timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime
1529507740,0,0,639276480543,95,79680208896,282624,234909696,0,0,0,1612463,132.09829711914062,0,67641344,302649344,302592000,12090335
1529507760,0,0,640709263781,96,79680208896,282624,235462656,0,0,0,1613256,53.56098175048828,0,67846144,303316992,303259648,12110299
1529507780,0,0,642027229186,94,79680208896,282624,235986944,0,0,0,1615562,165.59176635742188,0,68005888,304013312,303955968,12130316
1529507800,0,0,645147086940,92,79680208896,282624,237240320,0,0,0,1619249,109.82864379882812,0,68468736,305737728,305680384,12150359
1529507820,0,0,646887387761,94,79680208896,282624,237928448,0,0,0,1621595,127.2906265258789,0,68751360,306786304,306728960,12170364
1529507840,0,0,648361617323,97,79680208896,282624,238493696,0,0,0,1622408,53.85858154296875,0,69021696,307515392,307458048,12190369
1529507860,0,0,650090999413,96,79680208896,282624,239165440,0,0,0,1625028,146.3925018310547,0,69287936,308572160,308514816,12210328
1529507880,0,0,652628889689,95,79680208896,282624,240152576,0,0,0,1628670,137.45217895507812,0,69652480,309895168,309837824,12230341
1529507900,0,0,654491473935,94,79680208896,282624,240893952,0,0,0,1631013,118.54767608642578,0,69914624,310820864,310763520,12250284
1529507920,0,0,656259791102,95,79680208896,282624,241590272,0,0,0,1633617,140.04335021972656,0,70094848,311717888,311660544,12270271
1529507940,0,0,657601097301,92,79680208896,282624,242130944,0,0,0,1634977,94.01643371582031,0,70352896,312516608,312459264,12290323
1529507960,0,0,659830671697,96,79680208896,282624,242995200,0,0,0,1637742,119.35645294189453,0,70823936,313925632,313868288,12310384
1529507980,0,0,661624426563,97,79680208896,282624,243683328,0,0,0,1639733,108.67230987548828,0,71049216,314830848,314773504,12330338
1529508000,0,0,663285544673,93,79680208896,282624,244342784,0,0,0,1642303,145.26121520996094,0,71176192,315600896,315543552,12350317
1529508020,0,0,665116012738,98,79680208896,282624,245039104,0,0,0,1644652,126.85567474365234,0,71454720,316612608,316555264,12370332
1529508040,0,0,668261317999,94,79680208896,282624,246280192,0,0,0,1647560,87.64456939697266,0,72065024,318464000,318406656,12390347
